"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ERCC4",0.00722513236192504,6.39006745882766,0.0705571946191733,0.944374246177726,0.973036134142211,-5.94514361393308
"VGF",-0.0105996652722477,7.3032184429665,-0.0703772579993768,0.944515859547548,0.973036134142211,-5.94515596911092
"VAMP3",-0.0204074909815263,7.70307639133035,-0.0703345191889168,0.944549496038743,0.973036134142211,-5.94515889909643
"TOMM34",0.00576907741544058,7.92861102443593,0.0702400302353681,0.944623861535417,0.973036134142211,-5.94516537053051
"PPIH",0.00847148666362619,7.3057581657798,0.070105657930293,0.944729617252756,0.973036134142211,-5.94517455855122
"DNAJB6",0.00687803871766874,5.26613843340618,0.0700396722452527,0.944781550682399,0.973036134142211,-5.94517906403857
"TTC28",-0.00603026082685845,5.94445194460181,-0.0700207925975673,0.944796409782487,0.973036134142211,-5.9451803523563
"PAF1",-0.00722925994255377,6.71111529579694,-0.070004158853061,0.944809501276538,0.973036134142211,-5.94518148712943
"SVEP1",0.0049143398271105,5.28551796602508,0.0699772517336384,0.944830678405616,0.973036134142211,-5.94518332219346
"XAF1",-0.00656294599757838,4.24116310482542,-0.0699218675005033,0.944874268451863,0.973036134142211,-5.94518709717555
"FBXO41",0.0131235630436872,7.66864856015998,0.0698321975288501,0.944944843391447,0.973036134142211,-5.94519320273493
"LIN7B",-0.0106444625110751,7.93013336651468,-0.0695746282267821,0.945147566416383,0.973150900616,-5.94521069687569
"MOGAT2",-0.00511658089734627,5.86558090010796,-0.0694723259522525,0.945228085708518,0.973150900616,-5.94521762733094
"ZNF134",-0.00466291656105006,5.78163491531577,-0.0693972057269207,0.945287211141746,0.973150900616,-5.94522270985099
"NCK2",-0.00807355487198981,7.95314266574415,-0.0690242677798593,0.945580746938139,0.973373830283251,-5.94524786089001
"BRINP2",0.00859459036704197,7.84749650116267,0.0688208638251168,0.945740847521965,0.973459377612978,-5.94526152141949
"TESMIN",0.00417289618346232,4.62099101385166,0.0686923328936112,0.945842016266384,0.973484256891558,-5.94527013272927
"LANCL2",-0.00605700370342935,6.39141589564302,-0.0683373065496855,0.94612146800064,0.973688974252692,-5.94529383516392
"MXI1",0.00976702331773259,9.91852987059906,0.0681728471922728,0.946250921226059,0.973688974252692,-5.94530477327023
"MAGEA3",0.00435651927591479,4.39911025644006,0.0681461157402679,0.946271962876123,0.973688974252692,-5.94530654867625
"SS18L2",-0.00803770389450394,7.68509829993824,-0.0678788431871067,0.946482348540839,0.97373840587337,-5.94532426168113
"BRIP1",-0.00361170603985461,3.24885790033259,-0.0678279058815164,0.94652244468898,0.97373840587337,-5.94532762956524
"IFT27",0.00463514526709763,6.80304241663808,0.0677169891875147,0.946609755111623,0.97373840587337,-5.94533495443708
"COCH",-0.00931243262556399,5.08476720031179,-0.067693716795656,0.946628074554267,0.97373840587337,-5.945336489811
"ODAM",-0.00603932546739063,4.66620700675649,-0.0675122178774949,0.946770946979584,0.973805234954194,-5.94534844592967
"TMLHE",0.00740792009079675,5.06293470409199,0.0674154906040109,0.9468470895588,0.973805234954194,-5.94535480466722
"RPL31",-0.0044207575411804,8.45618434622649,-0.0671163016977955,0.94708261084811,0.973968232385933,-5.94537441530745
"NYX",-0.00795340981557624,5.41209184034226,-0.0662719456944939,0.947747313844846,0.974501063837495,-5.94542928924133
"ALDH1A1",0.0218331658557307,6.20563997801083,0.0662173860756613,0.947790266194999,0.974501063837495,-5.94543281113635
"PIGN",-0.00485333863186737,5.74288004892726,-0.0661644140776327,0.947831968837276,0.974501063837495,-5.94543622777424
"KHK",-0.00464318605848357,6.288374996312,-0.0652117112354901,0.948582017947056,0.975192913718054,-5.94549720948276
"BAHCC1",0.00450027294427287,6.85216201399479,0.065065887994646,0.948696826778544,0.975231643301174,-5.94550646548938
"CLN5",-0.00575858929176919,4.42014049771634,-0.0647430570602326,0.948951000473611,0.975411198707225,-5.945526883224
"ADAM11",0.00527100030273433,7.23026516256428,0.0646364126381385,0.949034965787706,0.975411198707225,-5.94553360574051
"EIF2S2",-0.00413083365546736,7.74874135796106,-0.0645500694397721,0.949102947599168,0.975411198707225,-5.94553904041862
"PKDREJ",-0.00368410781073287,5.22249930850701,-0.0643877808020059,0.949230725677846,0.975463225615298,-5.94554923565954
"SIMC1P1",-0.0052020882940164,3.51608877007619,-0.0641044388346473,0.949453818525182,0.975486426742072,-5.9455669741754
"TCF20",-0.0040700678595018,7.01194109742096,-0.0640828438895168,0.949470821749529,0.975486426742072,-5.94556832291154
"MIOS",-0.00447592402193824,5.63025137083301,-0.0640651268902099,0.949484771611796,0.975486426742072,-5.94556942910707
"NOX3",0.0054038498862267,3.83188593471712,0.0639401458316484,0.949583178618569,0.975508257680553,-5.94557722385807
"RFNG",-0.00734509965897714,7.17203644353834,-0.0633945154141734,0.950012804166289,0.975870318741825,-5.94561107523037
"ING1",0.00347775780006973,6.02594822207364,0.0632788822841881,0.950103854875888,0.975884559037765,-5.94561821196645
"PIGZ",0.0080565557175948,7.38888811230901,0.0630687850791319,0.950269289344269,0.975915175881522,-5.94563114557951
"IFFO1",-0.00738223335046672,7.95517038702062,-0.0628278760488667,0.950458988437048,0.975915175881522,-5.94564592305469
"RCL1",-0.00504315875246489,5.99551734911036,-0.0627637319884982,0.950509497925765,0.975915175881522,-5.94564984815184
"SLC8A2",0.0116169558545204,8.62558805456787,0.0627319706301527,0.950534508113847,0.975915175881522,-5.94565179020623
"UMPS",-0.00418247733385387,5.66269517126105,-0.0626689220660099,0.950584155277125,0.975915175881522,-5.94565564241147
"PDK2",-0.00669017858213953,7.25599787564991,-0.0626528592787569,0.950596803842517,0.975915175881522,-5.94565662321305
"FCN3",-0.00575013255577443,5.09379341924571,-0.0623915781984467,0.950802550250306,0.975988668209847,-5.94567254186872
"EXD2",0.00766504891288875,7.19867904237228,0.0623201099256403,0.95085882872231,0.975988668209847,-5.94567688451966
"CKS2",-0.00737964179667827,4.50792683656648,-0.0621553563040452,0.950988566757866,0.975988668209847,-5.94568687654466
"ZNF395",0.00892611762154949,6.86685843031105,0.0620554741720186,0.951067221313723,0.975988668209847,-5.94569292135096
"CEP162",-0.00308390827358696,4.89746897314968,-0.0620479296742042,0.951073162428309,0.975988668209847,-5.94569337754466
"PGAP6",0.00797360147085181,5.39475885910932,0.0619500328990459,0.951150254099483,0.975988668209847,-5.94569929204862
"WDR77",0.00322730090341979,7.05401010677034,0.0617878636108213,0.951277960109807,0.975988668209847,-5.94570906908122
"TRIM27",0.0067624617055282,7.00298586835801,0.0617099453219211,0.951339320130735,0.975988668209847,-5.94571375758952
"ZFTA",-0.0119397565395091,7.47058502216188,-0.0616312838485044,0.951401265715981,0.975988668209847,-5.94571848481783
"TTF2",-0.00350739539482765,3.14319448793578,-0.0615745309179821,0.951445958609021,0.975988668209847,-5.94572189169047
"MAOB",-0.00763814192149887,9.40471597494826,-0.061483627621753,0.951517545230925,0.975988668209847,-5.94572734206858
"SUGP2",0.00445668002105435,6.91630299953841,0.0612138048139401,0.951730033970076,0.976029825687481,-5.94574347269291
"MICB",-0.00459936300879024,3.97730007936434,-0.0611713368728104,0.951763478323895,0.976029825687481,-5.94574600506396
"UBE2M",-0.0113343345570648,8.29350438070342,-0.0611385884288101,0.95178926844111,0.976029825687481,-5.9457479566599
"PIGC",-0.00382204616748397,6.55800431955382,-0.0609570590756001,0.951932227761467,0.976097255116645,-5.94575875569237
"ADGRB2",-0.0133689925515429,8.5319568004423,-0.0603962818375045,0.952373865555359,0.976405963691579,-5.94579191312137
"G6PC2",0.00505867630089468,6.27777435663933,0.0603786500374935,0.952387751660567,0.976405963691579,-5.94579295068063
"NRDC",0.0053751486016001,8.98036462095463,0.0601985905509009,0.952529560241818,0.976472166556174,-5.9458035291066
"LIAS",0.00432039410358665,4.67853185914562,0.0599722030713659,0.952707857414316,0.976535450162771,-5.94581678446701
"SIPA1L3",-0.00485446679702818,6.92761385661759,-0.0598591438257171,0.952796901023441,0.976535450162771,-5.94582338557977
"GCNT4",0.00496904708653097,5.26735910044218,0.0598091792381848,0.952836252514377,0.976535450162771,-5.94582629886053
"JUP",-0.00591362493668162,6.34432737995529,-0.0596400112098543,0.952969488071595,0.976535450162771,-5.9458361444698
"N4BP2L2",-0.00606972726409669,6.88117999191605,-0.0596298534932619,0.952977488262933,0.976535450162771,-5.94583673476348
"S100PBP",0.00868331468351183,6.11624683201081,0.0594123872682896,0.953148765312239,0.97656843148263,-5.9458493482314
"SMC4",-0.0039696094870771,4.58377162293362,-0.0592528637290529,0.953274407998839,0.97656843148263,-5.94585857161771
"CPED1",-0.00620857575520596,4.88138487782955,-0.0592525998913072,0.953274615801696,0.97656843148263,-5.94585858685184
"BMPR1A",-0.00664161789946469,5.62502383666255,-0.0591967028947628,0.953318641252758,0.97656843148263,-5.94586181284398
"ASCC3",-0.00559628875198537,5.68887231655473,-0.0590161570223124,0.953460843374799,0.976634970654426,-5.94587221192355
"MITF",-0.00694610960746309,6.05432866087861,-0.0586802539712675,0.953725412625528,0.976826830186694,-5.94589147476757
"ANGPTL2",0.00608531265691588,5.99974200166737,0.0585283114512987,0.953845089776625,0.976827812560455,-5.94590015202549
"LINC00472",0.00341736120681524,3.55834385953832,0.0584828514454284,0.953880896454274,0.976827812560455,-5.9459027438217
"SLC7A9",0.00414053440054046,5.52845776269332,0.0583662679403104,0.953972724173076,0.976842727117535,-5.94590938135659
